"","listname","description","source","groups","tissue","Species","full.source","ensemble.genes"
"1","Acute EAE vs. CTRL spinal cord MG","DEGs in EAE vs. CTRL spinal cord microglia in acute disease, nanostring array","Krasemann, et al., 2018","Microglia","microglia spinal cord","mouse","Krasemann S, Madore C, Cialic R, et al. The TREM2-APOE pathway drives the transcriptional phenotype of dysfunctional microglia in neurodegenerative diseases. Immunity. 2017;47(3):566. doi:10.1016/J.IMMUNI.2017.08.008",177
"2","adult MG cluster 1","Gene cluster with higher expression in adult microglia compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","microglia","mouse","Matcovitch-Natan O, Winter DR, Giladi A, et al. Microglia development follows a stepwise program to regulate brain homeostasis. Science (80- ). 2016;8670. doi:10.1126/science.aad8670",397
"3","adult MG cluster 2","Gene cluster with higher expression in adult microglia compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","microglia","mouse","Matcovitch-Natan O, Winter DR, Giladi A, et al. Microglia development follows a stepwise program to regulate brain homeostasis. Science (80- ). 2016;8670. doi:10.1126/science.aad8670",412
"4","Amoeboid > Ramified MG","DEGs with higher expression in amoeboid vs. ramified microglia","Parakalan et al. 2012","Microglia","microglia","rat","Parakalan R, Jiang B, Nimmi B, et al. Transcriptome analysis of amoeboid and ramified microglia isolated from the corpus callosum of rat brain. BMC Neurosci 2012 131. 2012;13(1):1-20. doi:10.1186/1471-2202-13-64",883
"5","Apoe KO vs WT MG","DEGs in Apoe-/- microglia vs WT microglia at baseline","Krasemann, et al., 2018","Microglia","microglia","mouse","Krasemann S, Madore C, Cialic R, et al. The TREM2-APOE pathway drives the transcriptional phenotype of dysfunctional microglia in neurodegenerative diseases. Immunity. 2017;47(3):566. doi:10.1016/J.IMMUNI.2017.08.008",12
"6","Apoe KO vs WT phagocytic MG","DEGs in Apoe-/- microglia vs WT microglia after cortical injection of apoptotic neurons","Krasemann, et al., 2018","Microglia","microglia","mouse","Krasemann S, Madore C, Cialic R, et al. The TREM2-APOE pathway drives the transcriptional phenotype of dysfunctional microglia in neurodegenerative diseases. Immunity. 2017;47(3):566. doi:10.1016/J.IMMUNI.2017.08.008",26
"7","ASD < CTRL MG","DEGs with lower expression in ASD microglia vs. CTRL Microglia from human cortex","Velmeshev et al., 2019","Microglia","microglia","human","Velmeshev D, Schirmer L, Jung D, et al. Single-cell genomics identifies cell type-specific molecular changes in autism. Science. 2019;364(6441):685-689. doi:10.1126/science.aav8130",20
"8","ASD > CTRL MG","DEGs with higher expression in ASD microglia vs. CTRL Microglia from human cortex","Velmeshev et al., 2019","Microglia","microglia","human","Velmeshev D, Schirmer L, Jung D, et al. Single-cell genomics identifies cell type-specific molecular changes in autism. Science. 2019;364(6441):685-689. doi:10.1126/science.aav8130",61
"9","ASD cortex differentially spliced genes","Differentially spliced genes in ASD brain","Parikshak et al., 2016","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Parikshak NN, Swarup V, Belgard TG, et al. Genome-wide changes in lncRNA, splicing, and regional gene expression patterns in autism. Nature. 2016;540(7633):423-427. doi:10.1038/nature20612",869
"10","ASD NCrnas","ASD Differentially Expressed non-coding RNAs","Gandal, et al., 2018b","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Gandal MJ, Zhang P, Hadjimichael E, et al. Transcriptome-wide isoform-level dysregulation in ASD, schizophrenia, and bipolar disorder. Science (80- ). 2018;362(6420):eaat8127. doi:10.1126/science.aat8127",167
"11","ASD<Ctrl","ASD < Ctrl Differentially Gene Expression","Gandal, et al., 2018","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Gandal MJ, Haney J, Parikshak N, Leppa V, Horvath S, Geschwind DH. Shared molecular neuropathology across major psychiatric disorders parallels polygenic overlap. Science (80- ). 2018;693(February):693-697. doi:10.1101/040022",853
